source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20230810_OTE_Aur_3hr_ubiquitin_N2-1	proteomic profiling by mass spectrometry	Alka_20230810_OTE_Aur_3hr_ubiquitin_N2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20230810_OTE_Aur_3hr_ubiquitin_N2-2	proteomic profiling by mass spectrometry	Alka_20230810_OTE_Aur_3hr_ubiquitin_N2-2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20230810_OTE_Aur_3hr_ubiquitin_N2-3	proteomic profiling by mass spectrometry	Alka_20230810_OTE_Aur_3hr_ubiquitin_N2-3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20230810_OTE_Aur_3hr_ubiquitin_ufd3-2	proteomic profiling by mass spectrometry	Alka_20230810_OTE_Aur_3hr_ubiquitin_ufd3-2.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20230810_OTE_Aur_3hr_ubiquitin_ufd3-3	proteomic profiling by mass spectrometry	Alka_20230810_OTE_Aur_3hr_ubiquitin_ufd3-3.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20230810_OTE_Aur_3hr_ubiquitin_ufd3-4	proteomic profiling by mass spectrometry	Alka_20230810_OTE_Aur_3hr_ubiquitin_ufd3-4.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20231026_OTE_Aur_2h_TurboID_NoTurboID_1	proteomic profiling by mass spectrometry	Alka_20231026_OTE_Aur_2h_TurboID_NoTurboID_1.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20231026_OTE_Aur_2h_TurboID_NoTurboID_2b	proteomic profiling by mass spectrometry	Alka_20231026_OTE_Aur_2h_TurboID_NoTurboID_2b.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20231026_OTE_Aur_2h_TurboID_NoTurboID_3	proteomic profiling by mass spectrometry	Alka_20231026_OTE_Aur_2h_TurboID_NoTurboID_3.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD059010-sample	caenorhabditis elegans	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	Alka_20231026_OTE_Aur_2h_TurboID_inj003-2	proteomic profiling by mass spectrometry	Alka_20231026_OTE_Aur_2h_TurboID_inj003-2.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
