source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[cell line authentication]	characteristics[phenotype]	characteristics[compound]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
LAPC-4_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LAPC-4;AC=EFO:0005392	CVCL_4744	LAPC-4	NT=lymph node;AC=UBERON:0000029	cell line	not available	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	4	OEI28108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LAPC-4_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LAPC-4;AC=EFO:0005392	CVCL_4744	LAPC-4	NT=lymph node;AC=UBERON:0000029	cell line	not available	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	5	OEI28124.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LNCaPabl_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	OEI28065.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
LNCaPabl_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	OEI28081.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
LNCaPabl_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	OEI28097.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
LNCaPabl_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	4	OEI28112.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
LNCaPabl_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 28	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	5	OEI28128.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
LNCaPabl_parental	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone sensitive	not applicable	1	run 29	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	6	OEI28142.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone sensitive
LNCaPabl_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 30	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	OEI28067.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LNCaPabl_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 31	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	OEI28083.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LNCaPabl_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 32	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	OEI28099.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LNCaPabl_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 33	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	4	OEI28114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LNCaPabl_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 34	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	5	OEI28130.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
LNCaPabl_AR_res	NT=Homo sapiens;AC=NCBITaxon:9606	NT=prostate gland;AC=UBERON:0002367	NT=epithelial cell;AC=CL:0000066	NT=prostate carcinoma;AC=MONDO:0005159	NT=LNCaP-Abl cell;AC=BTO:0006467	CVCL_4793	LNCaP-abl	NT=left supraclavicular lymph node;AC=UBERON:8480056	cell line	50Y	male	not available	NT=adult;AC=EFO:0001272	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	STR profiling	abiraterone resistant	NT=abiraterone;AC=CHEBI:68642	1	run 35	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	5 ppm	0.4 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	6	OEI28144.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	abiraterone resistant
