source name	characteristics[organism]	characteristics[organism part]	characteristics[host organism]	characteristics[host body site]	characteristics[host subject id]	characteristics[host disease status]	characteristics[biological replicate]	characteristics[sample name]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[contaminant database]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[fractionation method]
V46_11	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_11	fecal material	PXD016787	Ottawa	V46_11	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_12	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_12	fecal material	PXD016787	Ottawa	V46_12	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_21	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_21	fecal material	PXD016787	Ottawa	V46_21	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_22	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_22	fecal material	PXD016787	Ottawa	V46_22	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_2M1	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_2M1	fecal material	PXD016787	Ottawa	V46_2M1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_2M1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_2M2	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_2M2	fecal material	PXD016787	Ottawa	V46_2M2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_2M2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_41	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_41	fecal material	PXD016787	Ottawa	V46_41	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_42	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_42	fecal material	PXD016787	Ottawa	V46_42	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_4M1	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_4M1	fecal material	PXD016787	Ottawa	V46_4M1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_4M1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V46_4M2	human gut metagenome	colon	Homo sapiens	colon	V46	normal	2	V46_4M2	fecal material	PXD016787	Ottawa	V46_4M2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V46_4M2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V47_11	human gut metagenome	colon	Homo sapiens	colon	V47	normal	3	V47_11	fecal material	PXD016787	Ottawa	V47_11	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V47_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V47_12	human gut metagenome	colon	Homo sapiens	colon	V47	normal	3	V47_12	fecal material	PXD016787	Ottawa	V47_12	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V47_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
V47_21	human gut metagenome	colon	Homo sapiens	colon	V47	normal	3	V47_21	fecal material	PXD016787	Ottawa	V47_21	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	differential lysis (batch 1, DL method variant unconfirmed)	not available	20 ppm	300m/z	1800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	MaxQuant contaminants	2019-06-10	Jiaqin_20190801_Differential_lysis_V47_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	differential lysis (batch 1, DL method variant unconfirmed)
