source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[synthetic peptide]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	factor value[source name]
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_D7	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_D7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	10	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool1	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool2	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool3	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool4	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool5	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	5	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool6	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	6	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool7	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	7	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool8	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	8	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-B5701-3x-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	mutant MHC protein complex	immunoaffinity purification	HLA-B*57:01 H113Y/D114H/S116Y	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150901_Pat_221B57x3_pool9	proteomic profiling by mass spectrometry	1	20150901_Pat_221B57x3_pool9.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	9	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-01	721.221-B5701-3x-br1
721.221-A2402-br1	Homo sapiens	blood	B cell	1	not pooled	not applicable	normal	cell line	untreated	not synthetic	not available	not available	female	adult	not available	MHC class I protein complex	immunoaffinity purification	HLA-A*24:02	not applicable	W6/32	LCL 721.221	CVCL_6263	LCL 721.221	not available	not available	not available	20150912_Pat_221A24_pool1	proteomic profiling by mass spectrometry	1	20150912_Pat_221A24_pool1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Reversed-phase chromatography (RP);AC=PRIDE:0000563	not available	25 ppm	0.1 Da	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=time-of-flight;AC=MS:1000084	2015-09-12	721.221-A2402-br1
