source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
BCells	Mus musculus	spleen	B cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08193_BCells_Fraction_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	11	1	qExHF01_08193_BCells_Fraction_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	B cell
BCells	Mus musculus	spleen	B cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08194_BCells_Fraction_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	12	1	qExHF01_08194_BCells_Fraction_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	B cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07919_BMDC_Fraction_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	1	1	qExHF01_07919_BMDC_Fraction_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07920_BMDC_Fraction_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	2	1	qExHF01_07920_BMDC_Fraction_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07921_BMDC_Fraction_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	3	1	qExHF01_07921_BMDC_Fraction_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07922_BMDC_Fraction_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	4	1	qExHF01_07922_BMDC_Fraction_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07923_BMDC_Fraction_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	5	1	qExHF01_07923_BMDC_Fraction_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07924_BMDC_Fraction_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	6	1	qExHF01_07924_BMDC_Fraction_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07925_BMDC_Fraction_7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	7	1	qExHF01_07925_BMDC_Fraction_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
BMDC	Mus musculus	bone marrow	dendritic cell	normal	not available	C57BL/6	not available	not available	cell	1	run qExHF01_07926_BMDC_Fraction_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	8	1	qExHF01_07926_BMDC_Fraction_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	dendritic cell
