source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
LUMOS2_20240512_LLY_ZX_mofang_HV063_F0B_r3	LUMOS2_20240512_LLY_ZX_mofang_HV063_F0B_r3	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_F0B_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_F0B_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r1	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r2	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r2	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r3	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r3	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_FS0_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r1	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r2	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r2	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r3	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r3	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240512_LLY_ZX_mofang_HV063_S00_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240603_LLY_ZX_mofang_HV063_D00_r1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D00_r1	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D00_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D00_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r2	LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r2	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r3	LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r3	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_D0B_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
LUMOS2_20240603_LLY_ZX_mofang_HV063_F00_r3	LUMOS2_20240603_LLY_ZX_mofang_HV063_F00_r3	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_3	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_F00_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	LUMOS2_20240603_LLY_ZX_mofang_HV063_F00_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
