source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[enrichment process]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[compound]
HEK293T_SB80_rep2	Homo sapiens	kidney	not available	2	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	SB 203580	SB80_02	proteomic profiling by mass spectrometry	1	SB80_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	SB 203580
HEK293T_SB80_rep3	Homo sapiens	kidney	not available	3	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	SB 203580	SB80_03	proteomic profiling by mass spectrometry	1	SB80_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	SB 203580
HEK293T_SB90_rep1	Homo sapiens	kidney	not available	1	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	SB-202190	SB90_01	proteomic profiling by mass spectrometry	1	SB90_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	SB-202190
HEK293T_SB90_rep2	Homo sapiens	kidney	not available	2	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	SB-202190	SB90_02	proteomic profiling by mass spectrometry	1	SB90_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	SB-202190
HEK293T_SB90_rep3	Homo sapiens	kidney	not available	3	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	SB-202190	SB90_03	proteomic profiling by mass spectrometry	1	SB90_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	SB-202190
HEK293T_VX_rep1	Homo sapiens	kidney	not available	1	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	VX-745	VX_01	proteomic profiling by mass spectrometry	1	VX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	VX-745
HEK293T_VX_rep2	Homo sapiens	kidney	not available	2	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	VX-745	VX_02	proteomic profiling by mass spectrometry	1	VX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	VX-745
HEK293T_VX_rep3	Homo sapiens	kidney	not available	3	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	VX-745	VX_03	proteomic profiling by mass spectrometry	1	VX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	VX-745
HEK293T_VX_rep3	Homo sapiens	kidney	not available	3	normal	cell line	not applicable	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	VX-745	VX_03_N2	proteomic profiling by mass spectrometry	2	VX_03_N2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	VX-745
HEK293T_DMSO_rep1_phospho	Homo sapiens	kidney	not available	1	normal	cell line	enrichment of phosphorylated Protein	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	dimethyl sulfoxide	P_DMSO_01	proteomic profiling by mass spectrometry	1	P_DMSO_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	dimethyl sulfoxide
HEK293T_DMSO_rep2_phospho	Homo sapiens	kidney	not available	2	normal	cell line	enrichment of phosphorylated Protein	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	dimethyl sulfoxide	P_DMSO_02	proteomic profiling by mass spectrometry	1	P_DMSO_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	dimethyl sulfoxide
HEK293T_DMSO_rep3_phospho	Homo sapiens	kidney	not available	3	normal	cell line	enrichment of phosphorylated Protein	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	dimethyl sulfoxide	P_DMSO_03	proteomic profiling by mass spectrometry	1	P_DMSO_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	dimethyl sulfoxide
HEK293T_Enza_rep1_phospho	Homo sapiens	kidney	not available	1	normal	cell line	enrichment of phosphorylated Protein	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	enzastaurin	P_Enza_01	proteomic profiling by mass spectrometry	1	P_Enza_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	enzastaurin
HEK293T_Enza_rep2_phospho	Homo sapiens	kidney	not available	2	normal	cell line	enrichment of phosphorylated Protein	not available	female	not applicable	HEK293T	CVCL_0063	HEK293T	enzastaurin	P_Enza_02	proteomic profiling by mass spectrometry	1	P_Enza_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30% NCE	15 ppm	0.05 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	enzastaurin
