source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
QE2_PharmacoDB_TP_Sample_42B	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_42B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_42B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_42B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_4A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_4A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_4A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_35C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_35C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_35C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_35C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_29B	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_29B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_29B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_29B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_32B	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_32B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_32B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_32B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_28A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_28A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_28A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_28A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_20B	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_20B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_20B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_20B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_46B	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_46B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_46B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_46B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_19A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_19A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_19A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_19A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_23C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_23C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_23C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_23C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_40C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_40C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_40C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_40C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
