source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Jane_02A09_Sialic1_tube_07	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic1_tube_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic1_tube_07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic1_tube_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic2_tube_07	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic2_tube_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic2_tube_07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic2_tube_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic2_tube_09	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic2_tube_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic2_tube_09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic2_tube_09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_SILAC3_09	Homo sapiens	Cell culture	not applicable	not available	1	Jane_SILAC3_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_SILAC3_09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_SILAC3_09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic1_tube_09	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic1_tube_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic1_tube_09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic1_tube_09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic2_tube_10	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic2_tube_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic2_tube_10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic2_tube_10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic1_tube_10	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic1_tube_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic1_tube_10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic1_tube_10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic2_tube_04	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic2_tube_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic2_tube_04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic2_tube_04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_SILAC3_03	Homo sapiens	Cell culture	not applicable	not available	1	Jane_SILAC3_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_SILAC3_03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_SILAC3_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
Jane_02A09_Sialic2_tube_05	Homo sapiens	Cell culture	not applicable	not available	1	Jane_02A09_Sialic2_tube_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Jane_02A09_Sialic2_tube_05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/09/PXD000385/Jane_02A09_Sialic2_tube_05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
