source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[sex]	characteristics[age]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]	factor value[dose]
PXD076643-sample-1	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	not applicable	0 uM	24 hour	1	220923_ML_Cd_K1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_K1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	not applicable	0 uM
PXD076643-sample-2	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	not applicable	0 uM	24 hour	2	220923_ML_Cd_K2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_K2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	not applicable	0 uM
PXD076643-sample-3	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	not applicable	0 uM	24 hour	3	220923_ML_Cd_K3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_K3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	not applicable	0 uM
PXD076643-sample-4	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	1 uM	24 hour	1	220923_ML_Cd_1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	1 uM
PXD076643-sample-5	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	1 uM	24 hour	2	220923_ML_Cd_1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	1 uM
PXD076643-sample-6	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	1 uM	24 hour	3	220923_ML_Cd_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	1 uM
PXD076643-sample-7	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	2.5 uM	24 hour	1	220923_ML_Cd_2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	2.5 uM
PXD076643-sample-8	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	2.5 uM	24 hour	2	220923_ML_Cd_2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	2.5 uM
PXD076643-sample-9	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	2.5 uM	24 hour	3	220923_ML_Cd_2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	2.5 uM
PXD076643-sample-10	Homo sapiens	bronchus	normal	bronchial epithelial cell	cell line	BEAS-2B	CVCL_0168	BEAS-2B	bronchus	male	not available	cadmium dichloride	5 uM	24 hour	1	220923_ML_Cd_5_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin/P;AC=MS:1001313	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	220923_ML_Cd_5_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	cadmium dichloride	5 uM
