source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Cep164C-termphosphataseTTBK2WT-3_in-vitro_ID_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Cep164C-termphosphataseTTBK2WT-3_in-vitro_ID_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Cep164C-termphosphataseTTBK2WT-3_in-vitro_ID_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Cep164C-termphosphataseTTBK2WT-3_in-vitro_ID_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Rabin8TTBK2-1_in-vivo_P_65min_HCD-ETD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Rabin8TTBK2-1_in-vivo_P_65min_HCD-ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Rabin8TTBK2-1_in-vivo_P_65min_HCD-ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Rabin8TTBK2-1_in-vivo_P_65min_HCD-ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
TTBK2KDphosphatasein-vitrokinaseassay-4_in-vitro_P_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	TTBK2KDphosphatasein-vitrokinaseassay-4_in-vitro_P_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TTBK2KDphosphatasein-vitrokinaseassay-4_in-vitro_P_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/TTBK2KDphosphatasein-vitrokinaseassay-4_in-vitro_P_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Cep164C-termTTBK2KD-1_in-vitro_ID_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Cep164C-termTTBK2KD-1_in-vitro_ID_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Cep164C-termTTBK2KD-1_in-vitro_ID_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Cep164C-termTTBK2KD-1_in-vitro_ID_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
TTBK2WT-4_in-vitro_ID_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	TTBK2WT-4_in-vitro_ID_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TTBK2WT-4_in-vitro_ID_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/TTBK2WT-4_in-vitro_ID_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
CCDC92TTBK2KD-3_in-vitro_ID_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	CCDC92TTBK2KD-3_in-vitro_ID_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CCDC92TTBK2KD-3_in-vitro_ID_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/CCDC92TTBK2KD-3_in-vitro_ID_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Rabin8phosphataseTTBK2KD-3_in-vitro_P_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Rabin8phosphataseTTBK2KD-3_in-vitro_P_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Rabin8phosphataseTTBK2KD-3_in-vitro_P_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Rabin8phosphataseTTBK2KD-3_in-vitro_P_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Cep164M-partTTBK2-2_in-vivo_ID_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Cep164M-partTTBK2-2_in-vivo_ID_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Cep164M-partTTBK2-2_in-vivo_ID_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Cep164M-partTTBK2-2_in-vivo_ID_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Cep164N-termmock-3_in-vivo_ID_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Cep164N-termmock-3_in-vivo_ID_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Cep164N-termmock-3_in-vivo_ID_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Cep164N-termmock-3_in-vivo_ID_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Cep164N-termphosphataseTTBK2WT-2_in-vitro_P_65min_HCD	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Cep164N-termphosphataseTTBK2WT-2_in-vitro_P_65min_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	7 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Cep164N-termphosphataseTTBK2WT-2_in-vitro_P_65min_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD014199/Cep164N-termphosphataseTTBK2WT-2_in-vitro_P_65min_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
