source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	characteristics[growth condition]	characteristics[genotype]	characteristics[treatment]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	factor value[genotype]	factor value[treatment]
TurboID_water_BR1	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	1	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	water mock infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_w1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_w1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	water
TurboID_water_BR2	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	2	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	water mock infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_w2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_w2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	water
TurboID_water_BR3	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	3	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	water mock infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_w3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_w3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	water
TurboID_CHX_BR1	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	1	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	100 µM cycloheximide infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_c1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_c1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	cycloheximide
TurboID_CHX_BR2	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	2	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	100 µM cycloheximide infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_c2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_c2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	cycloheximide
TurboID_CHX_BR3	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	3	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	100 µM cycloheximide infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_c3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_c3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	cycloheximide
TurboID_flg22_BR1	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	1	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	2 µM flg22 infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_f1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_f1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	flg22
TurboID_flg22_BR2	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	2	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	2 µM flg22 infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_f2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_f2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	flg22
TurboID_flg22_BR3	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	3	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	2 µM flg22 infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_f3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_f3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	flg22
TurboID_flg22-CHX_BR1	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	1	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	2 µM flg22 + 100 µM cycloheximide infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_fc1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_fc1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	flg22 + cycloheximide
TurboID_flg22-CHX_BR2	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	2	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	2 µM flg22 + 100 µM cycloheximide infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_fc2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_fc2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	flg22 + cycloheximide
TurboID_flg22-CHX_BR3	Arabidopsis thaliana	leaf	not applicable	normal	rosette growth stage	8-9 weeks	Col-0	tissue	3	short day (8h light/16h dark, 22°C/20°C, 130 µmol/m²/s, 60% RH, soil)	UBQ10p::TurboID-YFP-NLS (Addgene #127368)	2 µM flg22 + 100 µM cycloheximide infiltration (vacuum, 1 h)	enrichment of biotinylated proteins	run_AYM260721_fc3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	AYM260721_fc3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	dithiothreitol	iodoacetamide	2021-07-26	TurboID-YFP-NLS	flg22 + cycloheximide
