source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[treatment]	factor value[disease]
ALPK3_884_WT_Untreated	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BL/6	wild type	untreated	884	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_884_M_WT_WT_Untreated	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_884_M_WT_WT_Untreated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	untreated	normal
ALPK3_912_WT_Untreated	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BL/6	wild type	untreated	912	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_912_M_WT_WT_Untreated	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_912_M_WT_WT_Untreated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	untreated	normal
ALPK3_910_KI_TNNT2_ALPK3	Mus musculus	heart	not applicable	tissue	hypertrophic cardiomyopathy	adult	female	C57BL/6	Alpk3 knock-in	AAV ALPK3	910	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_910_F_KI_KI_TNNT2_ALPK3	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_910_F_KI_KI_TNNT2_ALPK3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alpk3 knock-in	AAV ALPK3	hypertrophic cardiomyopathy
ALPK3_876_WT_Untreated	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BL/6	wild type	untreated	876	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_876_M_WT_WT_Untreated	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_876_M_WT_WT_Untreated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	untreated	normal
ALPK3_924_WT_Untreated	Mus musculus	heart	not applicable	tissue	normal	adult	female	C57BL/6	wild type	untreated	924	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_924_F_WT_WT_Untreated	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_924_F_WT_WT_Untreated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	untreated	normal
ALPK3_877_KI_AAV_CONTROL	Mus musculus	heart	not applicable	tissue	hypertrophic cardiomyopathy	adult	female	C57BL/6	Alpk3 knock-in	AAV control	877	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_877_F_KI_KI_AAV_CONTROL	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_877_F_KI_KI_AAV_CONTROL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alpk3 knock-in	AAV control	hypertrophic cardiomyopathy
ALPK3_881_KI_TNNT2_ALPK3	Mus musculus	heart	not applicable	tissue	hypertrophic cardiomyopathy	adult	male	C57BL/6	Alpk3 knock-in	AAV ALPK3	881	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_881_M_KI_KI_TNNT2_ALPK3	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_881_M_KI_KI_TNNT2_ALPK3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alpk3 knock-in	AAV ALPK3	hypertrophic cardiomyopathy
ALPK3_877_KI_AAV_CONTROL	Mus musculus	heart	not applicable	tissue	hypertrophic cardiomyopathy	adult	female	C57BL/6	Alpk3 knock-in	AAV control	877	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_877_F_KI_KI_AAV_CONTROL	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_877_F_KI_KI_AAV_CONTROL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alpk3 knock-in	AAV control	hypertrophic cardiomyopathy
ALPK3_934_KI_TNNT2_ALPK3	Mus musculus	heart	not applicable	tissue	hypertrophic cardiomyopathy	adult	male	C57BL/6	Alpk3 knock-in	AAV ALPK3	934	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_934_M_KI_KI_TNNT2_ALPK3	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260120_James_McNamara_Mouse_ALPK3-ASTR1_EasyPhos_934_M_KI_KI_TNNT2_ALPK3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alpk3 knock-in	AAV ALPK3	hypertrophic cardiomyopathy
ALPK3_876_WT_Untreated	Mus musculus	heart	not applicable	tissue	normal	adult	male	C57BL/6	wild type	untreated	876	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_876_M_WT_WT_Untreated	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20260203-SA-20260119_James_McNamara_Mouse_ALPK3-ASTR1_proteome_876_M_WT_WT_Untreated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	untreated	normal
