source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Hammoc111214_6h-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc111214_6h-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc111214_6h-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc111214_6h-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc111214_3hr-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc111214_3hr-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc111214_3hr-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc111214_3hr-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc111214_30min-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc111214_30min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc111214_30min-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc111214_30min-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120116_12h-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120116_12h-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120116_12h-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120116_12h-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc111214_12h-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc111214_12h-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc111214_12h-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc111214_12h-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120109_5min-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120109_5min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120109_5min-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120109_5min-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120411_12h-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120411_12h-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120411_12h-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120411_12h-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc111214_3hr-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc111214_3hr-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc111214_3hr-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc111214_3hr-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120109_30min-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc120109_30min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120109_30min-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120109_30min-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120116_3h-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc120116_3h-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120116_3h-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120116_3h-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120411_5min-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc120411_5min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120411_5min-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120411_5min-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120411_3h-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120411_3h-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120411_3h-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120411_3h-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120116_3h-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120116_3h-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120116_3h-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120116_3h-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120411_3h-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc120411_3h-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120411_3h-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120411_3h-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc111214_5min-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc111214_5min-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc111214_5min-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc111214_5min-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120116_12h-1	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	1	Hammoc120116_12h-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120116_12h-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120116_12h-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120411_30min-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120411_30min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120411_30min-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120411_30min-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
Hammoc120411_5min-2	arabidopsis thaliana	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7 days	2	Hammoc120411_5min-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Hammoc120411_5min-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001473/Hammoc120411_5min-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	Cell culture
