source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
YLJI_180219_170419_mouseheart_1090_proteome_R1_frac9	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_170419_mouseheart_1090_proteome_R1_frac9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	9	1	YLJI_180219_170419_mouseheart_1090_proteome_R1_frac9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_170419_mouseheart_1090_proteome_R1_frac9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac19	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	19	1	YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_240519_mouseheart_1127_proteome_R1_frac21	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_240519_mouseheart_1127_proteome_R1_frac21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	21	1	YLJI_180219_240519_mouseheart_1127_proteome_R1_frac21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_240519_mouseheart_1127_proteome_R1_frac21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_170419_mouseheart_1090_proteome_R1_frac10	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_170419_mouseheart_1090_proteome_R1_frac10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	10	1	YLJI_180219_170419_mouseheart_1090_proteome_R1_frac10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_170419_mouseheart_1090_proteome_R1_frac10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_040419_mouseheart_1129_GPome_phos_R1_frac11	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_040419_mouseheart_1129_GPome_phos_R1_frac11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	11	1	YLJI_180219_040419_mouseheart_1129_GPome_phos_R1_frac11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_040419_mouseheart_1129_GPome_phos_R1_frac11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_230419_mouseheart_1124_proteome_R1_frac21	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_230419_mouseheart_1124_proteome_R1_frac21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	21	1	YLJI_180219_230419_mouseheart_1124_proteome_R1_frac21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_230419_mouseheart_1124_proteome_R1_frac21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac12	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	12	1	YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_210319_mouseheart_1124_GPome_phos_R1_frac12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_210319_mouseheart_1124_GPome_phos_R2_frac6	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_210319_mouseheart_1124_GPome_phos_R2_frac6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	6	1	YLJI_180219_210319_mouseheart_1124_GPome_phos_R2_frac6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_210319_mouseheart_1124_GPome_phos_R2_frac6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_150319_mouseheart_1112_proteome_R1_frac9	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_150319_mouseheart_1112_proteome_R1_frac9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	9	1	YLJI_180219_150319_mouseheart_1112_proteome_R1_frac9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_150319_mouseheart_1112_proteome_R1_frac9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_190319_mouseheart_1122_GPome_phos_R2_frac9	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_190319_mouseheart_1122_GPome_phos_R2_frac9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	9	1	YLJI_180219_190319_mouseheart_1122_GPome_phos_R2_frac9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_190319_mouseheart_1122_GPome_phos_R2_frac9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_120319_mouseheart_1089_GPome_phos_R2_frac15	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_120319_mouseheart_1089_GPome_phos_R2_frac15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	15	1	YLJI_180219_120319_mouseheart_1089_GPome_phos_R2_frac15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_120319_mouseheart_1089_GPome_phos_R2_frac15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
YLJI_180219_150319_mouseheart_1112_proteome_R1_frac13	mus musculus	heart	not applicable	cardiovascular system disease	enrichment of phosphorylated protein	10 weeks	male	1	YLJI_180219_150319_mouseheart_1112_proteome_R1_frac13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	high-ph reversed-phase chromatography (hphrp)	13	1	YLJI_180219_150319_mouseheart_1112_proteome_R1_frac13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058709/YLJI_180219_150319_mouseheart_1112_proteome_R1_frac13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	heart
