source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_1_5.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_1_5.wiff	1	1	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_1_7_2.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_1_7_2.wiff	1	2	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_1_8.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_1_8.wiff	1	3	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_1.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_1.wiff	1	4	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_2.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_2.wiff	1	5	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_3.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_3.wiff	1	6	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_4.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_4.wiff	1	7	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_6.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_6.wiff	1	8	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_7.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_7.wiff	1	9	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD005012-sample	drosophila melanogaster	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20140904_SV_benzophenone45uM_NE_2_8.wiff	proteomic profiling by mass spectrometry	20140904_SV_benzophenone45uM_NE_2_8.wiff	1	10	AC=MS:1002038;NT=label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
