source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO10_Rep2	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO10_Rep2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO20_Rep1	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO20_Rep1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO30_Rep1	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO30_Rep1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO30_Rep2	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_CubeB_WholeCell_DBCO30_Rep2.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO10_Rep3	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO10_Rep3.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO20_Rep1	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO20_Rep1.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO25_Rep3	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO25_Rep3.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO30_Rep3	proteomic profiling by mass spectrometry	20240424_Eclipse_NEO4_FAIMS_PepMap50cm_pepmapTrap_Braeuer_MS_Hub_IMP_ID021_Cytiva_WholeCell_DBCO30_Rep3.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240703_Eclipse_NEO4_FAIMS_Aurora25cm_pepmapTrap_Braeuer_Brennecke_IMBA_ID022_Fraction10_Nucleus_Rep2	proteomic profiling by mass spectrometry	20240703_Eclipse_NEO4_FAIMS_Aurora25cm_pepmapTrap_Braeuer_Brennecke_IMBA_ID022_Fraction10_Nucleus_Rep2.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD061173-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	enrichment of cross-linked peptides	26.4 Å	not available	not available	20240703_Eclipse_NEO4_FAIMS_Aurora25cm_pepmapTrap_Braeuer_Brennecke_IMBA_ID022_Fraction10_WholeCell_Rep1	proteomic profiling by mass spectrometry	20240703_Eclipse_NEO4_FAIMS_Aurora25cm_pepmapTrap_Braeuer_Brennecke_IMBA_ID022_Fraction10_WholeCell_Rep1.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBSO;AC=XLMOD:02155;CL=yes;TA=K,S,T,Y,nterm	FAIMS	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
