source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[infect]	characteristics[time]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[infect]	factor value[time]
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest2_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	4	2	AW20140310_BL0_2_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_2_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest2_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	5	2	AW20140310_BL0_2_5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_2_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest2_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	6	2	AW20140310_BL0_2_6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_2_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest2_F7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	7	2	AW20140310_BL0_2_7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_2_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	3	AW20140310_BL0_3_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	3	AW20140310_BL0_3_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	3	AW20140310_BL0_3_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	4	3	AW20140310_BL0_3_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	5	3	AW20140310_BL0_3_5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	6	3	AW20140310_BL0_3_6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B1-0_lung	Pteropus alecto	lung	not available	normal	not available	not available	not available	B1-0	organism part	not applicable	0 hour	1	B1-0_digest3_F7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	7	3	AW20140310_BL0_3_7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL0_3_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	normal	not applicable	0 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	AW20140310_BL60_1_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	1	AW20140310_BL60_1_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	1	AW20140310_BL60_1_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	4	1	AW20140310_BL60_1_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	5	1	AW20140310_BL60_1_5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	6	1	AW20140310_BL60_1_6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest1_F7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	7	1	AW20140310_BL60_1_7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_1_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest2_F1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	AW20140310_BL60_2_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_2_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest2_F2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	2	AW20140310_BL60_2_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_2_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
B8-60_lung	Pteropus alecto	lung	not available	Hendra virus infection	not available	not available	not available	B8-60	organism part	Henipavirus hendraense	60 hour	1	B8-60_digest2_F3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	2	AW20140310_BL60_2_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017495/AW20140310_BL60_2_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Hendra virus infection	Henipavirus hendraense	60 hour
