source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[antibody]	characteristics[cellular component]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[antibody]	factor value[cellular component]	factor value[genotype]	factor value[treatment]
axon_wt_RL2_IP_rep3	Mus musculus	lumbar spinal cord	motor neuron	3	normal	untreated	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample31	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	untreated
axon_ko_RL2_IP_rep1	Mus musculus	lumbar spinal cord	motor neuron	1	normal	untreated	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample32	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	untreated
axon_ko_RL2_IP_rep2	Mus musculus	lumbar spinal cord	motor neuron	2	normal	untreated	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample33	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	untreated
axon_ko_RL2_IP_rep3	Mus musculus	lumbar spinal cord	motor neuron	3	normal	untreated	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample34	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	untreated
axon_wt_RL2_IP_TMG_rep1	Mus musculus	lumbar spinal cord	motor neuron	1	normal	thiamet G	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample44	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	thiamet G
axon_wt_RL2_IP_TMG_rep2	Mus musculus	lumbar spinal cord	motor neuron	2	normal	thiamet G	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample45	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	thiamet G
axon_wt_RL2_IP_TMG_rep3	Mus musculus	lumbar spinal cord	motor neuron	3	normal	thiamet G	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample46	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr+/+	thiamet G
axon_ko_RL2_IP_TMG_rep1	Mus musculus	lumbar spinal cord	motor neuron	1	normal	thiamet G	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample47	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	thiamet G
axon_ko_RL2_IP_TMG_rep2	Mus musculus	lumbar spinal cord	motor neuron	2	normal	thiamet G	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample48	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	thiamet G
axon_ko_RL2_IP_TMG_rep3	Mus musculus	lumbar spinal cord	motor neuron	3	normal	thiamet G	embryonic day 13	C57BL/6	not available	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample49	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_5UL_sample49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	RL2 anti-O-GlcNAc antibody (Abcam ab2739)	axon	Hnrnpr-/-	thiamet G
soma_OGT_IP_rep1	Mus musculus	lumbar spinal cord	motor neuron	1	normal	untreated	embryonic day 13	C57BL/6	not available	anti-Ogt antibody (Proteintech 11576-2-AP)	somatodendritic compartment	not available	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_8UL_sample01	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_8UL_sample01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	anti-Ogt antibody (Proteintech 11576-2-AP)	somatodendritic compartment	not available	untreated
soma_OGT_IP_rep2	Mus musculus	lumbar spinal cord	motor neuron	2	normal	untreated	embryonic day 13	C57BL/6	not available	anti-Ogt antibody (Proteintech 11576-2-AP)	somatodendritic compartment	not available	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_8UL_sample02_2024-03-11_14-45-20	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_8UL_sample02_2024-03-11_14-45-20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	anti-Ogt antibody (Proteintech 11576-2-AP)	somatodendritic compartment	not available	untreated
soma_OGT_IP_rep3	Mus musculus	lumbar spinal cord	motor neuron	3	normal	untreated	embryonic day 13	C57BL/6	not available	anti-Ogt antibody (Proteintech 11576-2-AP)	somatodendritic compartment	not available	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_8UL_sample03_2024-03-11_13-27-07	proteomic profiling by mass spectrometry	1	20240310_OA1_Evo12_31min_JaBa_SA_J141_33G2_DIA_8UL_sample03_2024-03-11_13-27-07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	9 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380	980	8	anti-Ogt antibody (Proteintech 11576-2-AP)	somatodendritic compartment	not available	untreated
