source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2014-08-01-acetyl-MIN-log_HCD	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014-08-01-acetyl-MIN-log_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014-08-01-acetyl-MIN-log_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014-08-01-acetyl-MIN-log_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_05_08_Log-E2	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_05_08_Log-E2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_05_08_Log-E2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_05_08_Log-E2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10_16-acetyl-STAT-1_HCD	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10_16-acetyl-STAT-1_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10_16-acetyl-STAT-1_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10_16-acetyl-STAT-1_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_05_29_Log-E3	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_05_29_Log-E3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_05_29_Log-E3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_05_29_Log-E3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014-08-21-acetyl-MIN-log_HCD	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014-08-21-acetyl-MIN-log_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014-08-21-acetyl-MIN-log_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014-08-21-acetyl-MIN-log_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10-28-Stat-1-prot-E1	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10-28-Stat-1-prot-E1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10-28-Stat-1-prot-E1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10-28-Stat-1-prot-E1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2013_07_19_ac_1x_HCD	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2013_07_19_ac_1x_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2013_07_19_ac_1x_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2013_07_19_ac_1x_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10_16-acetyl-STAT-3_CID	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10_16-acetyl-STAT-3_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10_16-acetyl-STAT-3_CID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10_16-acetyl-STAT-3_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10_16-acetyl-STAT-2_HCD	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10_16-acetyl-STAT-2_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10_16-acetyl-STAT-2_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10_16-acetyl-STAT-2_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10-28-Stat-3-prot-E3	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10-28-Stat-3-prot-E3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10-28-Stat-3-prot-E3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10-28-Stat-3-prot-E3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10_16-acetyl-STAT-3_HCD	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10_16-acetyl-STAT-3_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10_16-acetyl-STAT-3_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10_16-acetyl-STAT-3_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10-28-Stat-2-prot-E1	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10-28-Stat-2-prot-E1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10-28-Stat-2-prot-E1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10-28-Stat-2-prot-E1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_05_08_Log-E1	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_05_08_Log-E1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_05_08_Log-E1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_05_08_Log-E1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10-28-Stat-3-prot-E2	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10-28-Stat-3-prot-E2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10-28-Stat-3-prot-E2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10-28-Stat-3-prot-E2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014-08-21-acetyl-MIN-log_CID	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014-08-21-acetyl-MIN-log_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014-08-21-acetyl-MIN-log_CID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014-08-21-acetyl-MIN-log_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
2014_10-28-Stat-1-prot-E2	bacillus subtilis subsp. subtilis str. 168	liver	not applicable	not available	antibody enrichment	1	2014_10-28-Stat-1-prot-E2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	tris(2-carboxyethyl)phosphine (tcep)	chloroacetamide (claa)	1	1	2014_10-28-Stat-1-prot-E2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD003272/2014_10-28-Stat-1-prot-E2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
