source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[genotype]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Experiment01_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Experiment01_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Experiment01_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Experiment01_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Experiment01_fraction5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Experiment01_fraction5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	6	1	Experiment01_fraction6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	6	1	Experiment01_fraction6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	Experiment01_fraction7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	Experiment01_fraction7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	8	1	Experiment01_fraction8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	8	1	Experiment01_fraction8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment01_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	1	Experiment01_fraction9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	9	1	Experiment01_fraction9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment01_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	1	Experiment01_fraction9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	9	1	Experiment01_fraction9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Experiment02_fraction1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment02_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	2	Experiment02_fraction1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Experiment02_fraction1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Experiment02_fraction10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment02_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	2	Experiment02_fraction10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Experiment02_fraction10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Experiment02_fraction11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment02_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	2	Experiment02_fraction11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Experiment02_fraction11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Experiment02_fraction12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment02_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	2	Experiment02_fraction12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Experiment02_fraction12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	Experiment02_fraction2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment02_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	2	Experiment02_fraction2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	Experiment02_fraction2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Experiment02_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
Experiment02_TRIP6_KD	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	TRIP6 knockdown	not available	not available	not available	2	Experiment02_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Experiment02_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TRIP6 knockdown
Experiment02_WT	Homo sapiens	large intestine	epithelial cell	colorectal cancer	RKO	CVCL_0504	wild type TRIP6	not available	not available	not available	2	Experiment02_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Experiment02_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type TRIP6
