source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[sample group]	factor value[silac reaction]
PXD009783-Sample-1	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R1_11.raw	1	11	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R1
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_01.raw	1	01	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_02.raw	1	02	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_03.raw	1	03	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_04.raw	1	04	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_05.raw	1	05	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_06.raw	1	06	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_07.raw	1	07	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_08.raw	1	08	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_09.raw	1	09	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_10.raw	1	10	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-2	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	1	cell	not available	streptavidin pull-down	M_Mueller_080317_120517_2a_R2_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_120517_2a_R2_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_120517_2a_R2_11.raw	1	11	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_120517_2a	R2
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_01.raw	1	01	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_02.raw	1	02	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_03.raw	1	03	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_04.raw	1	04	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_05.raw	1	05	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_06.raw	1	06	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_07.raw	1	07	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
PXD009783-Sample-3	Homo sapiens	cell culture	HeLa P4	epithelial cell	cervical adenocarcinoma	2	cell	not available	streptavidin pull-down	M_Mueller_080317_130517_2b_R1_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	M_Mueller_080317_130517_2b_R1_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD009783/M_Mueller_080317_130517_2b_R1_08.raw	1	08	SILAC light	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	080317_130517_2b	R1
