source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20140225_Elite_FrPa_LIPID_SILACexpC_fraction4	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_flowthr3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_flowthr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_flowthr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_flowthr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_fraction1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_fraction1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_fraction3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_4h_2b	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_4h_2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_4h_2b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_4h_2b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_fraction1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_fraction1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_pooled-flowthr_140302171552	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_pooled-flowthr_140302171552	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_pooled-flowthr_140302171552.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_pooled-flowthr_140302171552.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_flowthr3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_flowthr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_flowthr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_flowthr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_flowthr1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_flowthr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_flowthr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_flowthr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_22h_3b	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_22h_3b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_22h_3b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_22h_3b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_30h_3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	3	20130910_Elite_FrPa_Lipid_Exp53_30h_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_30h_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_30h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_30h_1b	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_30h_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_30h_1b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_30h_1b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_4h_1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_4h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_4h_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_4h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_fraction5	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_fraction5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions-OK	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions-OK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions-OK.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_pooled-fractions-OK.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_fraction3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_22h_1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_22h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_22h_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_22h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_4h_3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	3	20130910_Elite_FrPa_Lipid_Exp53_4h_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_4h_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_4h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_fraction6	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_fraction6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_flowthr1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_flowthr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_flowthr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_flowthr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_flowthr2	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_flowthr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_flowthr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_flowthr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_22h_2b	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_22h_2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_22h_2b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_22h_2b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_flowthr4	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_flowthr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_flowthr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_flowthr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_22h_1b	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_22h_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_22h_1b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_22h_1b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
