source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[sex]
Ldlr_F_SORT1_1907	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	female	C57BL/6	Ldlr knockout	sortilin antisense oligonucleotide	1907	12_DBG_F_AoArch_SORT1_F1907dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_F_AoArch_SORT1_F1907dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	sortilin antisense oligonucleotide	female
Ldlr_F_Control_1207	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	female	C57BL/6	Ldlr knockout	vehicle	1207	12_DBG_F_AoArch_Control_F1207dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_F_AoArch_Control_F1207dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	vehicle	female
Ldlr_F_Control_1507	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	female	C57BL/6	Ldlr knockout	vehicle	1507	12_DBG_F_AoArch_Control_F1507dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_F_AoArch_Control_F1507dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	vehicle	female
Ldlr_M_Control_407	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	male	C57BL/6	Ldlr knockout	vehicle	407	12_DBG_M_AoArch_Control_F407dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_M_AoArch_Control_F407dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	vehicle	male
Ldlr_M_Control_307	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	male	C57BL/6	Ldlr knockout	vehicle	307	12_DBG_M_AoArch_Control_F307dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_M_AoArch_Control_F307dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	vehicle	male
Ldlr_M_SORT1_607	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	male	C57BL/6	Ldlr knockout	sortilin antisense oligonucleotide	607	12_DBG_M_AoArch_SORT1_F607dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_M_AoArch_SORT1_F607dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	sortilin antisense oligonucleotide	male
Ldlr_M_Control_207	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	male	C57BL/6	Ldlr knockout	vehicle	207	12_DBG_M_AoArch_Control_F207dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_M_AoArch_Control_F207dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	vehicle	male
Ldlr_F_SORT1_2007	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	female	C57BL/6	Ldlr knockout	sortilin antisense oligonucleotide	2007	12_DBG_F_AoArch_SORT1_F2007dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_F_AoArch_SORT1_F2007dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	sortilin antisense oligonucleotide	female
Ldlr_F_SORT1_1707	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	female	C57BL/6	Ldlr knockout	sortilin antisense oligonucleotide	1707	12_DBG_F_AoArch_SORT1_F1707dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_F_AoArch_SORT1_F1707dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	sortilin antisense oligonucleotide	female
Ldlr_F_Control_1107	Mus musculus	arch of aorta	not applicable	tissue	atherosclerosis	adult	female	C57BL/6	Ldlr knockout	vehicle	1107	12_DBG_F_AoArch_Control_F1107dTopS_CID-IT_90min	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	12_DBG_F_AoArch_Control_F1107dTopS_CID-IT_90min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	vehicle	female
