source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[treatment]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[treatment]	factor value[enzyme]
WT_bio1	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Pro-5 cell	CVCL_4382	CHO Pro-5	ovary	adult	not available	female	not applicable	cell line	untreated	not available	not available	not available	1	01_WT_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	01_WT_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Pro-5 cell	untreated	untreated
WT_bio1_PNGaseF	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Pro-5 cell	CVCL_4382	CHO Pro-5	ovary	adult	not available	female	not applicable	cell line	untreated	not available	not available	not available	1	01_WT_1_P	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	01_WT_1_P.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Pro-5 cell	untreated	PNGase F
Lec5_EV_bio1	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec5	not available	not available	ovary	adult	not available	female	not applicable	cell line	untreated	not available	not available	not available	1	02_Lec5_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	02_Lec5_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec5	untreated	untreated
Lec5_EV_bio1_PNGaseF	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec5	not available	not available	ovary	adult	not available	female	not applicable	cell line	untreated	not available	not available	not available	1	02_Lec5_1_P	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	02_Lec5_1_P.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec5	untreated	PNGase F
Lec5_DHRSX_bio1	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec5	not available	not available	ovary	adult	not available	female	not applicable	cell line	DHRSX	not available	not available	not available	1	03_Lec5_DHRSX_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	03_Lec5_DHRSX_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec5	DHRSX	untreated
Lec5_DHRSX_bio1_PNGaseF	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec5	not available	not available	ovary	adult	not available	female	not applicable	cell line	DHRSX	not available	not available	not available	1	03_Lec5_DHRSX_1_P	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	03_Lec5_DHRSX_1_P.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec5	DHRSX	PNGase F
Lec9_EV_bio1	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec9	CVCL_DD12	Lec9	ovary	adult	not available	female	not applicable	cell line	untreated	not available	not available	not available	1	04_Lec9_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	04_Lec9_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec9	untreated	untreated
Lec9_EV_bio1_PNGaseF	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec9	CVCL_DD12	Lec9	ovary	adult	not available	female	not applicable	cell line	untreated	not available	not available	not available	1	04_Lec9_1_P	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	04_Lec9_1_P.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec9	untreated	PNGase F
Lec9_DHRSX_bio1	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec9	CVCL_DD12	Lec9	ovary	adult	not available	female	not applicable	cell line	DHRSX	not available	not available	not available	1	05_Lec9_DHRSX_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	05_Lec9_DHRSX_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec9	DHRSX	untreated
Lec9_DHRSX_bio1_PNGaseF	Cricetulus griseus	ovary	ovarian surface epithelial cell	normal	Lec9	CVCL_DD12	Lec9	ovary	adult	not available	female	not applicable	cell line	DHRSX	not available	not available	not available	1	05_Lec9_DHRSX_1_P	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Hex(1)HexNAc(2);AC=UNIMOD:148;TA=N;MT=Variable	NT=Hex(2)HexNAc(2);AC=UNIMOD:153;TA=N;MT=Variable	NT=Hex(3)HexNAc(2);AC=UNIMOD:159;TA=N;MT=Variable	NT=Hex(4)HexNAc(2);AC=UNIMOD:1452;TA=N;MT=Variable	NT=Hex(5)HexNAc(2);AC=UNIMOD:137;TA=N;MT=Variable	NT=Hex(6)HexNAc(2);AC=UNIMOD:1465;TA=N;MT=Variable	NT=Hex(7)HexNAc(2);AC=UNIMOD:1480;TA=N;MT=Variable	NT=Hex(8)HexNAc(2);AC=UNIMOD:1504;TA=N;MT=Variable	NT=Hex(9)HexNAc(2);AC=UNIMOD:1531;TA=N;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	20 ppm	0.05 Da	1	1	05_Lec9_DHRSX_1_P.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Lec9	DHRSX	PNGase F
