source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[optimization target]	factor value[condition]
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	30min	37C	Ex2_20241225_CJX_DSBSO_test_37C_30min_1	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_37C_30min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_37C_30min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	37C 30min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	30min	37C	Ex2_20241225_CJX_DSBSO_test_37C_30min_2	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_37C_30min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_37C_30min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	37C 30min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	120min	RT	Ex2_20241225_CJX_DSBSO_test_RT_120min_1	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_120min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_120min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 120min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	120min	RT	Ex2_20241225_CJX_DSBSO_test_RT_120min_2	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_120min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_120min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 120min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	30min	RT	Ex2_20241225_CJX_DSBSO_test_RT_30min_1	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_30min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_30min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 30min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	30min	RT	Ex2_20241225_CJX_DSBSO_test_RT_30min_2	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_30min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_30min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 30min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	60min	RT	Ex2_20241225_CJX_DSBSO_test_RT_60min_1	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_60min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_60min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 60min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	60min	RT	Ex2_20241225_CJX_DSBSO_test_RT_60min_2	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_60min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_60min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 60min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	90min	RT	Ex2_20241225_CJX_DSBSO_test_RT_90min_1	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_90min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_90min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 90min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	90min	RT	Ex2_20241225_CJX_DSBSO_test_RT_90min_2	proteomic profiling by mass spectrometry	Ex2_20241225_CJX_DSBSO_test_RT_90min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241225_CJX_DSBSO_test_RT_90min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	RT 90min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	120min	37C	Ex2_20241226_CJX_DSBSO_test_37C_120min_1	proteomic profiling by mass spectrometry	Ex2_20241226_CJX_DSBSO_test_37C_120min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241226_CJX_DSBSO_test_37C_120min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	37C 120min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	120min	37C	Ex2_20241226_CJX_DSBSO_test_37C_120min_2	proteomic profiling by mass spectrometry	Ex2_20241226_CJX_DSBSO_test_37C_120min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241226_CJX_DSBSO_test_37C_120min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	37C 120min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	1	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	60min	37C	Ex2_20241226_CJX_DSBSO_test_37C_60min_1	proteomic profiling by mass spectrometry	Ex2_20241226_CJX_DSBSO_test_37C_60min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241226_CJX_DSBSO_test_37C_60min_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	37C 60min
PXD065905-Sample-1	Homo sapiens	cultured cell	not available	not applicable	2	not available	not available	DBCO agarose enrichment and C8 cleanup	not available	60min	37C	Ex2_20241226_CJX_DSBSO_test_37C_60min_2	proteomic profiling by mass spectrometry	Ex2_20241226_CJX_DSBSO_test_37C_60min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065905/Ex2_20241226_CJX_DSBSO_test_37C_60min_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	not available	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSBSO	DBCO agarose enrichment and C8 cleanup	TCEP	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	cleavage temperature test	37C 60min
