source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[treatment]
A188_R1_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	2	acetylome_Z9263LPAc_A4_2_Slot1-30_1_1076	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_A4_2_Slot1-30_1_1076.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	recovery 1 h after 72 h cold (R1)
A188_R1_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	3	acetylome_Z9263LPAc_A4_3_Slot1-30_1_1077	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_A4_3_Slot1-30_1_1077.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	recovery 1 h after 72 h cold (R1)
A122_T0_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	1	acetylome_Z9263LPAc_B1_1_Slot1-31_1_1079	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B1_1_Slot1-31_1_1079.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	0 h cold (T0)
A122_T0_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	2	acetylome_Z9263LPAc_B1_2_Slot1-31_1_1080	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B1_2_Slot1-31_1_1080.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	0 h cold (T0)
A122_T0_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	3	acetylome_Z9263LPAc_B1_3_Slot1-31_1_1081	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B1_3_Slot1-31_1_1081.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	0 h cold (T0)
A122_T1_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	1	acetylome_Z9263LPAc_B2_1_Slot1-32_1_1083	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B2_1_Slot1-32_1_1083.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	2 h cold 4C (T1)
A122_T1_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	2	acetylome_Z9263LPAc_B2_2_Slot1-32_1_1084	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B2_2_Slot1-32_1_1084.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	2 h cold 4C (T1)
A122_T1_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	3	acetylome_Z9263LPAc_B2_3_Slot1-32_1_1085	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B2_3_Slot1-32_1_1085.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	2 h cold 4C (T1)
A122_T2_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	12 h cold 4C (T2)	organism part	study sample	1	acetylome_Z9263LPAc_B3_1_Slot1-33_1_1087	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B3_1_Slot1-33_1_1087.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	12 h cold 4C (T2)
A122_T2_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	12 h cold 4C (T2)	organism part	study sample	2	acetylome_Z9263LPAc_B3_2_Slot1-33_1_1088	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B3_2_Slot1-33_1_1088.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	12 h cold 4C (T2)
