source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS50.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS12.raw	2	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20210317_OT_HDXMS100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20210317_OT_HDXMS100.raw	3	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS30.raw	4	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS10.raw	5	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20210317_OT_HDXMS70.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20210317_OT_HDXMS70.raw	6	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS43.raw	7	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS14.raw	8	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS06.raw	9	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
PXD041160-Sample-1	Homo sapiens	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20220207_OT_HDXMS08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD041160/20220207_OT_HDXMS08.raw	10	1	NT=label free sample;AC=MS:1002038	NT=Ltq orbitrap velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	not applicable	NT=HCD;AC=PRIDE:0000590	not available	not available	NT=Homo sapiens;AC=NCBITaxon:9606
