source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[enrichment process]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[mouse line]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[reduction agent]	comment[alkylation agent]	comment[fractionation method]	comment[fraction identifier]	comment[fractionation method]	comment[instrument]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[MS1 scan range]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Sharma_05_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	3	not available	C57BL/6J	phospho_wt_3_f3	proteomic profiling by mass spectrometry	Sharma_Phospho_E3.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT127C;AC=PRIDE:0000518	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_05_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	3	not available	C57BL/6J	phospho_wt_3_f4	proteomic profiling by mass spectrometry	Sharma_Phospho_E4.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT127C;AC=PRIDE:0000518	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_07_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	4	not available	C57BL/6J	phospho_wt_4_f1	proteomic profiling by mass spectrometry	Sharma_Phospho_E1.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128N;AC=PRIDE:0000522	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_07_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	4	not available	C57BL/6J	phospho_wt_4_f2	proteomic profiling by mass spectrometry	Sharma_Phospho_E2.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128N;AC=PRIDE:0000522	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_07_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	4	not available	C57BL/6J	phospho_wt_4_f3	proteomic profiling by mass spectrometry	Sharma_Phospho_E3.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128N;AC=PRIDE:0000522	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_07_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	4	not available	C57BL/6J	phospho_wt_4_f4	proteomic profiling by mass spectrometry	Sharma_Phospho_E4.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128N;AC=PRIDE:0000522	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_08_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	5	not available	C57BL/6J	phospho_wt_5_f1	proteomic profiling by mass spectrometry	Sharma_Phospho_E1.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128C;AC=PRIDE:0000521	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_08_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	5	not available	C57BL/6J	phospho_wt_5_f2	proteomic profiling by mass spectrometry	Sharma_Phospho_E2.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128C;AC=PRIDE:0000521	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_08_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	5	not available	C57BL/6J	phospho_wt_5_f3	proteomic profiling by mass spectrometry	Sharma_Phospho_E3.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128C;AC=PRIDE:0000521	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_08_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	5	not available	C57BL/6J	phospho_wt_5_f4	proteomic profiling by mass spectrometry	Sharma_Phospho_E4.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT128C;AC=PRIDE:0000521	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Sharma_09_Phospho	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	enrichment of phosphorylated protein	1	not available	C57BL/6J	phospho_ko_1_f1	proteomic profiling by mass spectrometry	Sharma_Phospho_E1.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=MS:1000422	NT=Data-dependent acquisition;AC=PRIDE:0000627	400m/z-1500m/z	NT=TMT129N;AC=PRIDE:0000525	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	2	0.02 Da	10 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
