source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021617_minced_heart_F10_d8BDP_2hr1	proteomic profiling by mass spectrometry	021617_minced_heart_F10_d8BDP_2hr1.raw	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021617_minced_heart_F11_14_d8BDP_2hr1.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021617_minced_heart_F11_14_d8BDP_2hr1.pep.xml.react2.xls	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021617_minced_heart_F11_14_d8BDP_2hr1	proteomic profiling by mass spectrometry	021617_minced_heart_F11_14_d8BDP_2hr1.raw	1	13	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021617_minced_heart_F8_d8BDP_2hr1.txt	proteomic profiling by mass spectrometry	021617_minced_heart_F8_d8BDP_2hr1.raw.txt	1	14	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021617_minced_heart_F9_d8BDP_2hr1.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021617_minced_heart_F9_d8BDP_2hr1.pep.xml.react2.xls	1	15	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F10_d8BDP_4hr1.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F10_d8BDP_4hr1.pep.xml.react2.xls	1	16	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F10_d8BDP_4hr1.txt	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F10_d8BDP_4hr1.raw.txt	1	17	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F10_d8BDP_4hr2.txt	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F10_d8BDP_4hr2.raw.txt	1	18	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F11_14_d8BDP_4hr1.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F11_14_d8BDP_4hr1.pep.xml.react2.xls	1	19	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F11_14_d8BDP_4hr1	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F11_14_d8BDP_4hr1.raw	1	20	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F6_7_d8BDP_4hr2.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F6_7_d8BDP_4hr2.pep.xml.react2.xls	1	21	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F6_7_d8BDP_4hr2	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F6_7_d8BDP_4hr2.raw	1	22	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F8_d8BDP_4hr1.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F8_d8BDP_4hr1.pep.xml.react2.xls	1	23	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F8_d8BDP_4hr1	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F8_d8BDP_4hr1.raw	1	24	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F8_d8BDP_4hr2	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F8_d8BDP_4hr2.raw	1	25	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F8_d8BDP_4hr2.txt	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F8_d8BDP_4hr2.raw.txt	1	26	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F9_d8BDP_4hr1.pep.xml.react2.xls	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F9_d8BDP_4hr1.pep.xml.react2.xls	1	27	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD007673-sample	mus musculus	not applicable	not applicable	not applicable	not available	1	synthetic	reference	not available	not available	not available	not available	021717_heart_mito_postXL_F9_d8BDP_4hr1	proteomic profiling by mass spectrometry	021717_heart_mito_postXL_F9_d8BDP_4hr1.raw	1	28	AC=MS:1002038;NT=label free sample	NT=LTQ FT;AC=MS:1000448	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=unknown crosslinker;AC=XLMOD:00000	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
