source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[cleavage agent details]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[sample preparation batch]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sdrf annotation tool]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[condition]
HeLa SC 1	Homo sapiens	not applicable	not available	1	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_1	1	not applicable	run 1	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_1.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 2	Homo sapiens	not applicable	not available	2	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_2	1	not applicable	run 2	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_2.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 3	Homo sapiens	not applicable	not available	3	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_3	1	not applicable	run 3	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_3.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 4	Homo sapiens	not applicable	not available	4	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_4	1	not applicable	run 4	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_4.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 5	Homo sapiens	not applicable	not available	5	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_5	1	not applicable	run 5	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_5.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 6	Homo sapiens	not applicable	not available	6	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_6	1	not applicable	run 6	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_6.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 7	Homo sapiens	not applicable	not available	7	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_7	1	not applicable	run 7	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_7.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 8	Homo sapiens	not applicable	not available	8	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_8	1	not applicable	run 8	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_8.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 9	Homo sapiens	not applicable	not available	9	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_9	1	not applicable	run 9	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_9.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 10	Homo sapiens	not applicable	not available	10	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_10	1	not applicable	run 10	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_10.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
HeLa SC 11	Homo sapiens	not applicable	not available	11	HeLa	not available	female	single cell	cellenion proteoCHIP	HeLa_cell_11	1	not applicable	run 11	proteomic profiling by mass spectrometry	1	NT=Trypsin;AC=MS:1001251	20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD046357/20230919_OLEP08_HeLa_1cell_240k_20Th_40ms_11.raw	1	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	Data-independent acquisition	HCD	PXD046357	5 ppm	10 ppm	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0	dia-acquisition v1.1.0	human v1.1.0	HeLa single cell
