source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SF_050118_WTPLK4_SILAC_TiO2_Fraction_10_rep2.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	2	SF_050118_WTPLK4_SILAC_TiO2_Fraction_10_rep2.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	10	1	SF_050118_WTPLK4_SILAC_TiO2_Fraction_10_rep2.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_050118_WTPLK4_SILAC_TiO2_Fraction_10_rep2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_120118_G95RPLK4_SILAC_TiO2_Fraction_5_rep2.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	2	SF_120118_G95RPLK4_SILAC_TiO2_Fraction_5_rep2.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	5	1	SF_120118_G95RPLK4_SILAC_TiO2_Fraction_5_rep2.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_120118_G95RPLK4_SILAC_TiO2_Fraction_5_rep2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_220218_WTPLK4_SILAC_TiO2_Fraction_8_rep4.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	4	SF_220218_WTPLK4_SILAC_TiO2_Fraction_8_rep4.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	8	1	SF_220218_WTPLK4_SILAC_TiO2_Fraction_8_rep4.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_220218_WTPLK4_SILAC_TiO2_Fraction_8_rep4.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_120118_G95RPLK4_SILAC_TiO2_Fraction_1_rep2.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	2	SF_120118_G95RPLK4_SILAC_TiO2_Fraction_1_rep2.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	SF_120118_G95RPLK4_SILAC_TiO2_Fraction_1_rep2.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_120118_G95RPLK4_SILAC_TiO2_Fraction_1_rep2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_090218_G95RPLK4_SILAC_TiO2_Fraction_8_rep3.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	3	SF_090218_G95RPLK4_SILAC_TiO2_Fraction_8_rep3.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	8	1	SF_090218_G95RPLK4_SILAC_TiO2_Fraction_8_rep3.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_090218_G95RPLK4_SILAC_TiO2_Fraction_8_rep3.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_6_8ul.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	1	SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_6_8ul.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	6	1	SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_6_8ul.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_6_8ul.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_220218_WTPLK4_SILAC_TiO2_Fraction_10_rep4.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	4	SF_220218_WTPLK4_SILAC_TiO2_Fraction_10_rep4.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	10	1	SF_220218_WTPLK4_SILAC_TiO2_Fraction_10_rep4.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_220218_WTPLK4_SILAC_TiO2_Fraction_10_rep4.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_2_8ul.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	1	SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_2_8ul.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	2	1	SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_2_8ul.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_121217_G95R_PLK4_SILAC_TiO2_rep1_Fraction_2_8ul.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_090218_G95RPLK4_SILAC_TiO2_Fraction_9_rep3.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	3	SF_090218_G95RPLK4_SILAC_TiO2_Fraction_9_rep3.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	9	1	SF_090218_G95RPLK4_SILAC_TiO2_Fraction_9_rep3.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_090218_G95RPLK4_SILAC_TiO2_Fraction_9_rep3.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_260218_WT_PLK4_SILAC_unenriched_Fraction_6_rep4.pride	homo sapiens	muscle	not applicable	not available	not applicable	4	SF_260218_WT_PLK4_SILAC_unenriched_Fraction_6_rep4.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	6	1	SF_260218_WT_PLK4_SILAC_unenriched_Fraction_6_rep4.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_260218_WT_PLK4_SILAC_unenriched_Fraction_6_rep4.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_051217_WTPLK4_unenriched_Fraction10_9ul.pride	homo sapiens	muscle	not applicable	not available	not applicable	1	SF_051217_WTPLK4_unenriched_Fraction10_9ul.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	10	1	SF_051217_WTPLK4_unenriched_Fraction10_9ul.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_051217_WTPLK4_unenriched_Fraction10_9ul.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_040118_WTPLK4_SILAC_TiO2_Fraction_5_rep2.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	2	SF_040118_WTPLK4_SILAC_TiO2_Fraction_5_rep2.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	5	1	SF_040118_WTPLK4_SILAC_TiO2_Fraction_5_rep2.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_040118_WTPLK4_SILAC_TiO2_Fraction_5_rep2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_280218_G95RPLK4_SILAC_TiO2_Fraction_2_rep4.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	4	SF_280218_G95RPLK4_SILAC_TiO2_Fraction_2_rep4.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	2	1	SF_280218_G95RPLK4_SILAC_TiO2_Fraction_2_rep4.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_280218_G95RPLK4_SILAC_TiO2_Fraction_2_rep4.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_051217_WTPLK4_unenriched_Fraction12_9ul.pride	homo sapiens	muscle	not applicable	not available	not applicable	1	SF_051217_WTPLK4_unenriched_Fraction12_9ul.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	12	1	SF_051217_WTPLK4_unenriched_Fraction12_9ul.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_051217_WTPLK4_unenriched_Fraction12_9ul.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_141217_G95R_PLK4_SILAC_unenriched_rep1_Fraction_1_9ul.pride	homo sapiens	muscle	not applicable	not available	not applicable	1	SF_141217_G95R_PLK4_SILAC_unenriched_rep1_Fraction_1_9ul.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	SF_141217_G95R_PLK4_SILAC_unenriched_rep1_Fraction_1_9ul.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_141217_G95R_PLK4_SILAC_unenriched_rep1_Fraction_1_9ul.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_010218_WTPLK4_SILAC_TiO2_Fraction_12_rep3.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	3	SF_010218_WTPLK4_SILAC_TiO2_Fraction_12_rep3.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	12	1	SF_010218_WTPLK4_SILAC_TiO2_Fraction_12_rep3.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_010218_WTPLK4_SILAC_TiO2_Fraction_12_rep3.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_051217_WTPLK4_unenriched_Fraction6_9ul.pride	homo sapiens	muscle	not applicable	not available	not applicable	1	SF_051217_WTPLK4_unenriched_Fraction6_9ul.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	6	1	SF_051217_WTPLK4_unenriched_Fraction6_9ul.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_051217_WTPLK4_unenriched_Fraction6_9ul.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
SF_281117_WT_PLK4_SILAC_Fraction_6_rep1.pride	homo sapiens	muscle	not applicable	not available	enrichment of phosphorylated protein	1	SF_281117_WT_PLK4_SILAC_Fraction_6_rep1.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	32% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	6	1	SF_281117_WT_PLK4_SILAC_Fraction_6_rep1.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018704/generated/SF_281117_WT_PLK4_SILAC_Fraction_6_rep1.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	muscle
