source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Brenda_Andrews_Proteome_Ubi_090321_B_2	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_3	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_4	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_5	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_6	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_7	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_8	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_B_9	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_B_9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_B_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_1	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_2	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_3	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_4	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_5	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_6	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_7	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_8	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Brenda_Andrews_Proteome_Ubi_090321_C_9	Saccharomyces cerevisiae	cell culture	not available	1	Brenda_Andrews_Proteome_Ubi_090321_C_9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	Brenda_Andrews_Proteome_Ubi_090321_C_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
