source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
spinach_GC_salt_bio1	Spinacia oleracea	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	sodium chloride	tissue	study sample	not pooled	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	1807_FR_S6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	sodium chloride
spinach_GC_salt_bio2	Spinacia oleracea	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	sodium chloride	tissue	study sample	not pooled	2	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	1807_FR_S7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	sodium chloride
spinach_GC_salt_bio3	Spinacia oleracea	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	sodium chloride	tissue	study sample	not pooled	3	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	1807_FR_S8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	sodium chloride
spinach_GC_salt_bio4	Spinacia oleracea	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	sodium chloride	tissue	study sample	not pooled	4	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	1807_FR_S9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	sodium chloride
sugarbeet_GC_control_bio1	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	untreated	tissue	study sample	not pooled	1	run 21	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBC1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
sugarbeet_GC_control_bio2	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	untreated	tissue	study sample	not pooled	2	run 22	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBC2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
sugarbeet_GC_control_bio3	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	untreated	tissue	study sample	not pooled	3	run 23	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBC3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
sugarbeet_GC_control_bio4	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	untreated	tissue	study sample	not pooled	4	run 24	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBC4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
sugarbeet_GC_control_bio5	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	untreated	tissue	study sample	not pooled	5	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBC5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
sugarbeet_GC_salt_bio1	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	sodium chloride	tissue	study sample	not pooled	1	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBS1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	sodium chloride
sugarbeet_GC_salt_bio2	Beta vulgaris subsp. vulgaris	leaf	guard cell	normal	sporophyte vegetative stage	not available	glasshouse 24C/16C day/night, 70% RH; potting mix	sodium chloride	tissue	study sample	not pooled	2	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 eV	20 ppm	0.5 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	1808_FR_SBS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	sodium chloride
