source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
APEX2_noH2O2	Homo sapiens	kidney	not available	cell line	negative control	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	no hydrogen peroxide	1	m13387_APEX2_v1_01-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	no hydrogen peroxide
APEX2_UBQLN1_v1	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	1	m13387_APEX2_v1_01-TMT127N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN1_v2	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	2	m13387_APEX2_v1_01-TMT127C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN1_v3	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	3	m13387_APEX2_v1_01-TMT128N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN2_v1	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	1	m13387_APEX2_v1_01-TMT128C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_UBQLN2_v2	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	2	m13387_APEX2_v1_01-TMT129N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_UBQLN2_v3	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	3	m13387_APEX2_v1_01-TMT129C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT129C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	1	1	m13387_APEX2_v1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_noH2O2	Homo sapiens	kidney	not available	cell line	negative control	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	no hydrogen peroxide	1	m13388_APEX2_v1_02-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	no hydrogen peroxide
APEX2_UBQLN1_v1	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	1	m13388_APEX2_v1_02-TMT127N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN1_v2	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	2	m13388_APEX2_v1_02-TMT127C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN1_v3	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	3	m13388_APEX2_v1_02-TMT128N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN2_v1	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	1	m13388_APEX2_v1_02-TMT128C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_UBQLN2_v2	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	2	m13388_APEX2_v1_02-TMT129N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_UBQLN2_v3	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	3	m13388_APEX2_v1_02-TMT129C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT129C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	2	1	m13388_APEX2_v1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_noH2O2	Homo sapiens	kidney	not available	cell line	negative control	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	no hydrogen peroxide	1	m13389_APEX2_v1_03-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	no hydrogen peroxide
APEX2_UBQLN1_v1	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	1	m13389_APEX2_v1_03-TMT127N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN1_v2	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	2	m13389_APEX2_v1_03-TMT127C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN1_v3	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN1	3	m13389_APEX2_v1_03-TMT128N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN1
APEX2_UBQLN2_v1	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	1	m13389_APEX2_v1_03-TMT128C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_UBQLN2_v2	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	2	m13389_APEX2_v1_03-TMT129N	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_UBQLN2_v3	Homo sapiens	kidney	not available	cell line	study sample	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	APEX2-UBQLN2	3	m13389_APEX2_v1_03-TMT129C	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT129C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	3	1	m13389_APEX2_v1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	APEX2-UBQLN2
APEX2_noH2O2	Homo sapiens	kidney	not available	cell line	negative control	normal	HEK293	CVCL_0045	HEK293	not available	not available	female	not available	no hydrogen peroxide	1	m13390_APEX2_v1_04-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	1.0 Da	4	1	m13390_APEX2_v1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	no hydrogen peroxide
