source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20130612_KNUP_07_Pho_500ACN30_08	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	8	20130612_KNUP_07_Pho_500ACN30_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_07_Pho_500ACN30_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_07_Pho_500ACN30_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_05_Pho_500ACN30_08	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	8	20130612_KNUP_05_Pho_500ACN30_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_05_Pho_500ACN30_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_05_Pho_500ACN30_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_07_Pho_500ACN30_06	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	6	20130612_KNUP_07_Pho_500ACN30_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_07_Pho_500ACN30_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_07_Pho_500ACN30_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_07_Pho_050_02	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	2	20130612_KNUP_07_Pho_050_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_07_Pho_050_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_07_Pho_050_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_08_Pho_050_02	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	2	20130612_KNUP_08_Pho_050_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_08_Pho_050_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_08_Pho_050_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_06_Pho_000_01	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	1	20130612_KNUP_06_Pho_000_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_06_Pho_000_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_06_Pho_000_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_05_Pho_250_04	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	4	20130612_KNUP_05_Pho_250_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_05_Pho_250_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_05_Pho_250_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_08_Pho_000_01	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	1	20130612_KNUP_08_Pho_000_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_08_Pho_000_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_08_Pho_000_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_08_Pho_250_04	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	4	20130612_KNUP_08_Pho_250_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_08_Pho_250_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_08_Pho_250_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_05_Pho_500ACN30_06	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	6	20130612_KNUP_05_Pho_500ACN30_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_05_Pho_500ACN30_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_05_Pho_500ACN30_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_07_Pho_500ACN30_07	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	7	20130612_KNUP_07_Pho_500ACN30_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_07_Pho_500ACN30_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_07_Pho_500ACN30_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_06_Pho_500ACN30_08	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	8	20130612_KNUP_06_Pho_500ACN30_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_06_Pho_500ACN30_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_06_Pho_500ACN30_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_07_Pho_500ACN05_05	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	5	20130612_KNUP_07_Pho_500ACN05_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_07_Pho_500ACN05_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_07_Pho_500ACN05_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_06_Pho_500ACN30_07	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	7	20130612_KNUP_06_Pho_500ACN30_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_06_Pho_500ACN30_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_06_Pho_500ACN30_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_07_Pho_100_03	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	3	20130612_KNUP_07_Pho_100_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_07_Pho_100_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_07_Pho_100_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_08_Pho_500ACN30_08	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	8	20130612_KNUP_08_Pho_500ACN30_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_08_Pho_500ACN30_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_08_Pho_500ACN30_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
20130612_KNUP_08_Pho_100_03	danio rerio	Embryo	not applicable	not available	enrichment of phosphorylated protein	3	20130612_KNUP_08_Pho_100_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.8 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130612_KNUP_08_Pho_100_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002232/20130612_KNUP_08_Pho_100_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
