source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[bait]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[bait]	factor value[genotype]
HeLa_CPSF1_Mut_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_1	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)
HeLa_CPSF1_Mut_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_2	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)
HeLa_CPSF1_Mut_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_3	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)
HeLa_CPSF1_Mut_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_4	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_Mut_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 motif mutant (residues 743-744 mutated)
HeLa_CPSF1_WT_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 wild type	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_1	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 wild type
HeLa_CPSF1_WT_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 wild type	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_2	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 wild type
HeLa_CPSF1_WT_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 wild type	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_3	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 wild type
HeLa_CPSF1_WT_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	CPSF1	mVenus-CPSF1 wild type	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_4	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_CPSF1_WT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	CPSF1	mVenus-CPSF1 wild type
HeLa_FAM122A_Mut_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	FAM122A	mVenus-FAM122A motif mutant	20230717_EXPL6_Evo2_JJW_Jakob_IP_FAM122A_Mut_1	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_FAM122A_Mut_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	FAM122A	mVenus-FAM122A motif mutant
HeLa_FAM122A_Mut_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	FAM122A	mVenus-FAM122A motif mutant	20230717_EXPL6_Evo2_JJW_Jakob_IP_FAM122A_Mut_2	proteomic profiling by mass spectrometry	1	20230717_EXPL6_Evo2_JJW_Jakob_IP_FAM122A_Mut_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1000m/z	350	1000	13.3	not available	FAM122A	mVenus-FAM122A motif mutant
