source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m	211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m	211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GF75_5m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m	211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m	211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_150m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m	211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m	211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_250m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m	211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m.mzid_211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m	211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC002_GFF_5m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m	211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m	211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_75m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m	211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m	211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GF75_772m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m	211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m	211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_75m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m	211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m.mzid_211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m	211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC003_GFF_772m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m	211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
