source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[gradient length]
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_011	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_011.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	11	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_012	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_012.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	12	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_013	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_013.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	13	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_014	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_014.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	14	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_015	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_015.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	15	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_016	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_016.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	16	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_017	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_017.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	17	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_018	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_018.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	18	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_019	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	19	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_020	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	20	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
HeLa digest high-pH RP fractions 21 min library	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_021	proteomic profiling by mass spectrometry	1	20210709_EXPL2_SoSt_SA_HeLa-library_21min_DDA_200ng_FR_021.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	21	NT=HCD;AC=MS:1000422	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	21 min
